"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"275","feZD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"276","fyZD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"277","fFeBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"278","fFeBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"279","fFeBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"280","fFyBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"281","fFyBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"282","fFyBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"283","fFeZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"284","fFeZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"285","fFeZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"286","fFyZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"287","fFyZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"288","fFyZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"289","fFeBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"290","fFeBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"291","fFeBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"292","fFyBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"293","fFyBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"294","fFyBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"295","fFeZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"296","fFeZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"297","fFeZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"298","fFyZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"299","fFyZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"300","fFyZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"301","fMeBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"302","fMeBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"303","fMeBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"304","fMyBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"305","fMyBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"306","fMyBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"307","fMeZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"308","fMeZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"309","fMeZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"310","fMyZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"311","fMyZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"312","fMyZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"313","fMeBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"314","fMeBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"315","fMeBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"316","fMyBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
